,Acc,DP
0,0.8016666666666667,0.12038211382113824
1,0.7813333333333332,0.08954471544715446
2,0.7733333333333333,0.0749268292682927
3,0.7663333333333332,0.06418699186991869
4,0.76,0.05388617886178863
5,0.7533333333333332,0.040373983739837395
6,0.751,0.035536585365853676
7,0.7466666666666667,0.024341463414634147
8,0.7426666666666668,0.017317073170731712
9,0.8386666666666669,0.18052032520325206
10,0.8309999999999998,0.1663821138211382
11,0.8246666666666667,0.15066666666666664
12,0.8183333333333331,0.14139024390243904
13,0.812,0.13269918699186992
14,0.8079999999999998,0.1256747967479675
15,0.8013333333333333,0.11591869918699187
16,0.797,0.11056097560975611
17,0.795,0.10649593495934959
18,0.8773333333333333,0.24554471544715448
19,0.8729999999999999,0.2403333333333333
20,0.869,0.23516260162601627
21,0.8603333333333335,0.2251788617886179
22,0.8513333333333334,0.21413008130081304
23,0.8486666666666668,0.20843902439024392
24,0.843,0.20020325203252032
25,0.8426666666666668,0.1990569105691057
26,0.8400000000000002,0.19499186991869916
