,Accuracy,DP Disparity
0,0.8796666666666667,0.39404065040650404
1,0.9073333333333334,0.33785365853658533
2,0.9036666666666667,0.30628455284552847
3,0.9013333333333333,0.2966991869918699
4,0.8993333333333332,0.2918861788617885
5,0.8996666666666666,0.28726016260162596
6,0.9,0.2821138211382114
7,0.899,0.2799268292682927
8,0.9,0.27907317073170734
9,0.8986666666666668,0.27692682926829265
10,0.8973333333333334,0.27167479674796746
11,0.8936666666666666,0.266089430894309
12,0.8903333333333334,0.2623170731707317
13,0.8870000000000001,0.2581056910569106
14,0.8853333333333332,0.25614634146341464
15,0.8796666666666665,0.2500406504065041
16,0.8773333333333333,0.24741463414634146
17,0.8753333333333334,0.2451219512195122
18,0.8693333333333333,0.23824390243902432
19,0.865,0.2325934959349593
20,0.8589999999999998,0.22513008130081297
21,0.8513333333333334,0.216520325203252
22,0.841,0.20509756097560974
23,0.8326666666666667,0.19315447154471543
24,0.8240000000000001,0.1840650406504065
25,0.8193333333333334,0.17933333333333332
26,0.8156666666666667,0.17345528455284553
27,0.805,0.16178048780487803
28,0.7939999999999999,0.1545040650406504
29,0.7833333333333333,0.14416260162601624
30,0.775,0.13540650406504062
31,0.7676666666666667,0.12594308943089433
32,0.757,0.11412195121951221
33,0.7453333333333333,0.10648780487804876
34,0.736,0.09682926829268293
35,0.7276666666666668,0.08898373983739837
36,0.7193333333333333,0.0860650406504065
37,0.7126666666666667,0.08162601626016261
38,0.7023333333333333,0.07464227642276425
39,0.693,0.06813821138211384
