,Acc,DP
1,0.9063333333333332,0.33670731707317075
2,0.9046666666666667,0.309869918699187
3,0.9019999999999999,0.2984715447154472
4,0.898,0.2943252032520325
5,0.8949999999999999,0.29117886178861785
6,0.8953333333333333,0.289219512195122
7,0.8983333333333332,0.2862195121951219
8,0.8993333333333332,0.28440650406504064
9,0.899,0.28244715447154467
10,0.8983333333333332,0.28030081300813003
11,0.8993333333333332,0.27419512195121953
12,0.8986666666666668,0.2735284552845529
13,0.8973333333333333,0.27138211382113825
14,0.8946666666666667,0.26731707317073167
15,0.8946666666666667,0.26635772357723575
16,0.8899999999999999,0.2600813008130082
17,0.8863333333333335,0.2545772357723578
18,0.8850000000000001,0.2529512195121951
19,0.8783333333333335,0.24275609756097558
20,0.8746666666666666,0.23606504065040643
21,0.8690000000000001,0.22782926829268293
22,0.8683333333333334,0.226869918699187
23,0.8603333333333334,0.21755284552845527
24,0.8573333333333334,0.21367479674796747
25,0.8536666666666667,0.2095691056910569
26,0.8463333333333333,0.20091869918699187
27,0.8376666666666667,0.18974796747967485
28,0.8306666666666664,0.1773821138211382
29,0.8243333333333333,0.16995934959349596
30,0.8149999999999998,0.15939024390243905
31,0.8053333333333332,0.14900813008130082
32,0.7973333333333333,0.13614634146341462
33,0.7886666666666667,0.12455284552845529
34,0.776,0.10705691056910568
35,0.7686666666666666,0.09967479674796745
36,0.752,0.0872682926829268
37,0.7463333333333333,0.08464227642276423
38,0.7386666666666667,0.07434146341463413
39,0.7293333333333334,0.05970731707317073
