,Accuracy,DP Disparity
0,0.8273333333333334,0.3964552845528455
1,0.8583333333333334,0.4591463414634146
2,0.8586666666666668,0.466650406504065
3,0.8623333333333335,0.472609756097561
4,0.8606666666666666,0.47752845528455284
5,0.86,0.4783414634146341
6,0.8583333333333334,0.48015447154471547
7,0.858,0.48063414634146345
8,0.8576666666666668,0.4809674796747968
9,0.8576666666666668,0.4809674796747968
10,0.8573333333333334,0.4814471544715448
11,0.8563333333333334,0.4824471544715447
12,0.8563333333333334,0.4824471544715447
13,0.8563333333333334,0.4824471544715447
14,0.8560000000000001,0.48292682926829267
15,0.8563333333333334,0.4824471544715447
16,0.8563333333333334,0.48259349593495937
17,0.8563333333333334,0.4824471544715447
18,0.8563333333333334,0.4824471544715447
19,0.8560000000000001,0.48292682926829267
20,0.8560000000000001,0.48292682926829267
21,0.8560000000000001,0.48292682926829267
22,0.8563333333333334,0.4824471544715447
23,0.8563333333333334,0.4824471544715447
24,0.8560000000000001,0.48292682926829267
25,0.8563333333333334,0.48259349593495937
26,0.8560000000000001,0.48292682926829267
27,0.8560000000000001,0.48292682926829267
28,0.8560000000000001,0.48292682926829267
29,0.8560000000000001,0.48292682926829267
30,0.8560000000000001,0.48292682926829267
31,0.8560000000000001,0.48292682926829267
32,0.8560000000000001,0.48292682926829267
33,0.8560000000000001,0.48292682926829267
34,0.8563333333333334,0.48259349593495937
35,0.8563333333333334,0.4824471544715447
36,0.8560000000000001,0.48292682926829267
37,0.8560000000000001,0.48292682926829267
38,0.8560000000000001,0.48292682926829267
39,0.8560000000000001,0.48292682926829267
