,Accuracy,Demographic Disparity
0,0.7558333333333335,0.24015853658536584
1,0.6736666666666665,0.17344715447154474
2,0.6921666666666666,0.1321341463414634
3,0.6693333333333331,0.11210569105691057
4,0.667,0.06447154471544717
5,0.6676666666666666,0.0860650406504065
6,0.6411666666666667,0.03973577235772357
7,0.6506666666666667,0.07022764227642278
8,0.6326666666666667,0.04181300813008129
9,0.6138333333333333,0.02670325203252032
10,0.6206666666666668,0.034178861788617884
11,0.6213333333333333,0.021162601626016252
12,0.6195000000000002,0.014166666666666671
13,0.6251666666666666,0.03508536585365855
