,Acc,DP
2,0.9043333333333333,0.3251626016260162
3,0.9006666666666666,0.3102439024390244
4,0.9036666666666665,0.30161788617886176
5,0.9016666666666666,0.2936178861788618
6,0.901,0.2921382113821138
7,0.8969999999999999,0.2881382113821139
8,0.8930000000000001,0.28303252032520326
9,0.8903333333333332,0.28117886178861784
10,0.8876666666666667,0.2778455284552845
11,0.8823333333333332,0.2736991869918699
12,0.876,0.2745365853658537
13,0.8723333333333333,0.27124390243902435
14,0.869,0.2628048780487805
15,0.8606666666666667,0.2571382113821139
16,0.8586666666666666,0.2559512195121952
17,0.8523333333333334,0.24815447154471543
18,0.8489999999999999,0.2440081300813008
19,0.8386666666666667,0.2340650406504065
20,0.8299999999999998,0.22180487804878052
21,0.8213333333333332,0.211609756097561
22,0.8126666666666665,0.202520325203252
23,0.8073333333333332,0.19328455284552845
24,0.7969999999999999,0.1817967479674797
25,0.7846666666666666,0.1686829268292683
26,0.7736666666666667,0.15652845528455284
27,0.764,0.14510569105691054
28,0.7549999999999999,0.13153658536585366
29,0.748,0.11871544715447155
30,0.7413333333333333,0.11154471544715447
31,0.7363333333333334,0.10953658536585367
32,0.73,0.1074471544715447
33,0.7226666666666667,0.10769105691056909
34,0.7163333333333333,0.10808943089430892
35,0.707,0.10978048780487806
36,0.7000000000000001,0.10465040650406503
37,0.6936666666666667,0.10158536585365854
38,0.6873333333333334,0.10139837398373985
39,0.6839999999999999,0.10095934959349595
