,Acc,DP
1,0.9086666666666666,0.3417723577235773
2,0.9056666666666666,0.31057723577235774
3,0.9033333333333335,0.2995121951219512
4,0.8996666666666668,0.2928861788617886
5,0.8996666666666668,0.28955284552845517
6,0.901,0.285260162601626
7,0.8993333333333332,0.2809268292682927
8,0.899,0.28059349593495936
9,0.8983333333333334,0.2777804878048781
10,0.898,0.2727154471544716
11,0.8946666666666667,0.2659837398373984
12,0.8913333333333334,0.2620650406504065
13,0.8870000000000001,0.25670731707317074
14,0.8853333333333333,0.2544552845528455
15,0.8796666666666667,0.248349593495935
16,0.876,0.24409756097560975
17,0.8743333333333334,0.24243089430894305
18,0.868,0.23521951219512188
19,0.8623333333333333,0.22765040650406504
20,0.8576666666666666,0.22181300813008126
21,0.849,0.21205691056910564
22,0.8393333333333333,0.20144715447154468
23,0.8273333333333334,0.1853333333333333
24,0.8206666666666667,0.1762439024390244
25,0.8163333333333334,0.17088617886178864
26,0.8093333333333333,0.16175609756097561
27,0.8,0.15222764227642277
28,0.7876666666666667,0.14184552845528456
29,0.7743333333333332,0.1329837398373984
30,0.7663333333333334,0.12197560975609756
31,0.7590000000000001,0.11140650406504063
32,0.7480000000000001,0.10021138211382112
33,0.7366666666666667,0.09165853658536585
34,0.7263333333333333,0.08085365853658538
35,0.7190000000000001,0.07608943089430896
36,0.7116666666666667,0.0722520325203252
37,0.7050000000000001,0.07010569105691059
38,0.696,0.06762601626016264
39,0.6843333333333333,0.06197560975609756
