,Accuracy,EO Disparity
0,0.8616666666666667,0.2052197802197802
1,0.8116666666666668,0.2722832722832723
2,0.6426666666666666,0.4960012210012209
3,0.5826666666666668,0.4670940170940171
4,0.5389999999999999,0.41883394383394384
5,0.5223333333333333,0.4094322344322345
6,0.499,0.33495115995116
7,0.5196666666666666,0.30699023199023207
8,0.49466666666666664,0.33763736263736266
9,0.4956666666666667,0.29307081807081803
10,0.4886666666666667,0.32051282051282054
11,0.49733333333333335,0.2758547008547009
12,0.47400000000000003,0.31282051282051276
13,0.5213333333333333,0.2897435897435897
14,0.48566666666666675,0.298992673992674
15,0.503,0.33904151404151406
16,0.4613333333333333,0.3489010989010989
17,0.5183333333333333,0.31923076923076926
18,0.504,0.2796092796092796
19,0.5466666666666667,0.2868437118437118
20,0.5176666666666667,0.2868437118437118
21,0.5596666666666668,0.28907203907203904
22,0.5230000000000001,0.2890720390720391
23,0.5606666666666668,0.27793040293040294
24,0.5263333333333333,0.27402319902319905
25,0.558,0.2634310134310135
26,0.5106666666666667,0.2634310134310135
27,0.5436666666666667,0.26565934065934066
28,0.501,0.26565934065934066
29,0.5383333333333334,0.2651098901098901
30,0.4993333333333334,0.26565934065934066
31,0.5436666666666667,0.26565934065934066
32,0.507,0.26565934065934066
33,0.546,0.2612026862026862
34,0.5170000000000001,0.26510989010989017
35,0.5613333333333334,0.27402319902319905
36,0.5256666666666667,0.2757020757020757
37,0.5656666666666668,0.27402319902319905
38,0.526,0.27402319902319905
39,0.5633333333333335,0.27179487179487183
